pk,model,name,slug
1,persons.party,הליכוד - ישראל ביתנו,halikud-beitenu
2,persons.party,יש עתיד,yesh-atid
3,persons.party,הבית היהודי,habait-hayehudi
4,persons.party,התנועה,hatnua
5,persons.party,העבודה,haavoda
6,persons.party,"ש""ס",shas
7,persons.party,יהדות התורה,yehadut-hatorah
8,persons.party,מרצ,meretz
9,persons.party,"חד""ש",hadash
10,persons.party,"רע""מ-תע""ל",raam-taal
11,persons.party,"בל""ד",balad
12,persons.party,קדימה,kadima
