pk,model,member,date,hours
4656,mks.weeklypresence,784,2010-02-14,35.0
4657,mks.weeklypresence,784,2010-02-21,58.0
4658,mks.weeklypresence,784,2010-02-28,41.0
4659,mks.weeklypresence,784,2010-03-07,42.0
4660,mks.weeklypresence,784,2010-03-14,38.0
4661,mks.weeklypresence,784,2010-03-21,17.0
4662,mks.weeklypresence,784,2010-04-04,15.0
4663,mks.weeklypresence,784,2010-04-11,19.0
4664,mks.weeklypresence,784,2010-04-18,32.0
4665,mks.weeklypresence,784,2010-04-25,31.0
4666,mks.weeklypresence,784,2010-05-02,34.0
4667,mks.weeklypresence,784,2010-05-09,38.0
4668,mks.weeklypresence,784,2010-05-16,11.0
4669,mks.weeklypresence,28,2009-11-15,18.0
4670,mks.weeklypresence,28,2009-11-29,1.0
4671,mks.weeklypresence,28,2009-12-13,4.0
4672,mks.weeklypresence,28,2009-12-20,7.0
4673,mks.weeklypresence,28,2009-12-27,5.0
4674,mks.weeklypresence,28,2010-01-03,3.0
4675,mks.weeklypresence,28,2010-01-10,9.0
4676,mks.weeklypresence,28,2010-01-17,3.0
4677,mks.weeklypresence,28,2010-01-24,7.0
4678,mks.weeklypresence,28,2010-01-31,3.0
4679,mks.weeklypresence,28,2010-02-07,15.0
4680,mks.weeklypresence,28,2010-02-14,4.0
4681,mks.weeklypresence,28,2010-02-21,4.0
4682,mks.weeklypresence,28,2010-02-28,2.0
4683,mks.weeklypresence,28,2010-03-07,7.0
4684,mks.weeklypresence,28,2010-03-14,14.0
4685,mks.weeklypresence,28,2010-03-21,0.0
4686,mks.weeklypresence,28,2010-04-04,0.0
4687,mks.weeklypresence,28,2010-04-11,4.0
4688,mks.weeklypresence,28,2010-04-18,0.0
4689,mks.weeklypresence,28,2010-04-25,0.0
4690,mks.weeklypresence,28,2010-05-02,6.0
4691,mks.weeklypresence,28,2010-05-09,13.0
4692,mks.weeklypresence,28,2010-05-16,4.0
4693,mks.weeklypresence,830,2009-11-15,34.0
4694,mks.weeklypresence,830,2009-11-29,27.0
4695,mks.weeklypresence,830,2009-12-13,19.0
4696,mks.weeklypresence,830,2009-12-20,24.0
4697,mks.weeklypresence,830,2009-12-27,10.0
4698,mks.weeklypresence,830,2010-01-03,30.0
4699,mks.weeklypresence,830,2010-01-10,29.0
4700,mks.weeklypresence,830,2010-01-17,25.0
4701,mks.weeklypresence,830,2010-01-24,40.0
4702,mks.weeklypresence,830,2010-01-31,17.0
4703,mks.weeklypresence,830,2010-02-07,25.0
4704,mks.weeklypresence,830,2010-02-14,30.0
