pk,model,name,slug
1,core.party,הליכוד - ישראל ביתנו,halikud-beitenu
2,core.party,יש עתיד,yesh-atid
3,core.party,הבית היהודי,habait-hayehudi
4,core.party,התנועה,hatnua
5,core.party,העבודה,haavoda
6,core.party,"ש""ס",shas
7,core.party,יהדות התורה,yehadut-hatorah
8,core.party,מרצ,meretz
9,core.party,"חד""ש",hadash
10,core.party,"רע""מ-תע""ל",raam-taal
11,core.party,"בל""ד",balad
12,core.party,קדימה,kadima
