pk,model,statuses,name
1,core.tag,,בטחון
2,core.tag,,חוץ
3,core.tag,,כלכלה
4,core.tag,,בריאות
5,core.tag,,סביבה
6,core.tag,,רווחה
7,core.tag,,ספורט
8,core.tag,,אישי
9,core.tag,,תרבות
10,core.tag,,מדע
11,core.tag,,הספד
