pk,model,statuses,name
1,facebook_feeds.tag,,בטחון
2,facebook_feeds.tag,,חוץ
3,facebook_feeds.tag,,כלכלה
4,facebook_feeds.tag,,בריאות
5,facebook_feeds.tag,,סביבה
6,facebook_feeds.tag,,רווחה
7,facebook_feeds.tag,,ספורט
8,facebook_feeds.tag,,אישי
9,facebook_feeds.tag,,תרבות
10,facebook_feeds.tag,,מדע
11,facebook_feeds.tag,,הספד
