pk,model,object_id,content_type,name,new_object_id
75,facebook_feeds.facebook_feed_generic,57,"[""persons"", ""person""]",??? ??????,870
76,facebook_feeds.facebook_feed_generic,56,"[""persons"", ""person""]",???? ?????,845
77,facebook_feeds.facebook_feed_generic,59,"[""persons"", ""person""]",????? ?????,884
78,facebook_feeds.facebook_feed_generic,54,"[""persons"", ""person""]",??? ??-???,863
79,facebook_feeds.facebook_feed_generic,84,"[""persons"", ""person""]",????? (???) ???,63
80,facebook_feeds.facebook_feed_generic,73,"[""persons"", ""person""]",?????? (????) ??-??????,20
81,facebook_feeds.facebook_feed_generic,14,"[""persons"", ""person""]",??? ?????,768
82,facebook_feeds.facebook_feed_generic,62,"[""persons"", ""person""]",?????? ????,893
83,facebook_feeds.facebook_feed_generic,20,"[""persons"", ""person""]",???? ??,212
84,facebook_feeds.facebook_feed_generic,28,"[""persons"", ""person""]",??? ????,837
85,facebook_feeds.facebook_feed_generic,24,"[""persons"", ""person""]",???? ???????,695
86,facebook_feeds.facebook_feed_generic,13,"[""persons"", ""person""]",???? ?????????,790
87,facebook_feeds.facebook_feed_generic,17,"[""persons"", ""person""]",???? ????,826
88,facebook_feeds.facebook_feed_generic,67,"[""persons"", ""person""]",???? ?????,119
89,facebook_feeds.facebook_feed_generic,108,"[""persons"", ""person""]",????? ????,197
90,facebook_feeds.facebook_feed_generic,105,"[""persons"", ""person""]",???? ?????,985
91,facebook_feeds.facebook_feed_generic,93,"[""persons"", ""person""]",???? ???,206
92,facebook_feeds.facebook_feed_generic,7,"[""persons"", ""person""]",???? ?????,77
93,facebook_feeds.facebook_feed_generic,50,"[""persons"", ""person""]",???? ?????,869
94,facebook_feeds.facebook_feed_generic,44,"[""persons"", ""person""]",??? ??????,892
95,facebook_feeds.facebook_feed_generic,61,"[""persons"", ""person""]",???? ?????-?????,879
96,facebook_feeds.facebook_feed_generic,31,"[""persons"", ""person""]",????? ??????,859
97,facebook_feeds.facebook_feed_generic,43,"[""persons"", ""person""]",????? ???????,883
98,facebook_feeds.facebook_feed_generic,107,"[""persons"", ""person""]",??? ??????,871
